0,42,10
1,61,54
2,27,10
3,14,46
4,40,83
5,89,71
6,14,17
7,36,45
8,5,92
9,17,2
10,59,35
11,50,4
12,41,27
13,14,30
14,34,35
15,98,66
16,65,11
17,4,7
18,36,28
19,97,96
20,24,69
21,14,37
22,49,94
23,98,14
24,47,72
25,77,12
26,3,68
27,42,15
28,86,72
29,52,92
30,6,15
31,61,61
32,33,41
33,22,65
34,69,35
35,8,12
36,64,78
37,30,35
38,54,10
39,95,84
40,40,65
41,52,62
42,90,73
43,67,54
44,19,20
45,93,16
46,25,95
47,33,32
48,37,29
49,93,69
50,28,33
51,59,68
52,58,83
53,53,46
54,18,8
55,46,52
56,100,60
57,69,93
58,1,61
59,15,27
60,19,77
61,98,30
62,5,99
63,97,18
64,13,28
65,3,55
66,18,77
67,85,58
68,27,58
69,99,46
70,91,30
71,86,1
72,10,36
73,30,79
74,83,51
75,59,66
76,14,74
77,89,38
78,63,15
79,11,52
80,59,21
81,90,62
82,42,92
83,83,2
84,34,9
85,6,63
86,19,6
87,46,7
88,53,57
89,57,22
90,76,54
91,0,85
92,92,25
93,42,94
94,67,29
95,42,95
96,41,5
97,19,81
98,95,95
99,97,41
100,31,79
101,3,11
102,99,17
103,89,75
104,11,94
105,73,30
106,38,72
107,79,15
108,55,100
109,4,24
110,68,14
111,5,47
112,24,66
113,23,80
114,22,20
115,84,59
116,9,12
117,95,3
118,96,2
119,66,89
120,30,99
121,29,59
122,86,66
123,40,51
124,97,22
