0,45,44
1,30,43
2,73,27
3,30,97
4,89,42
5,87,80
6,6,97
7,27,58
8,1,63
9,82,97
10,46,47
11,100,41
12,16,55
13,38,13
14,16,45
15,42,41
16,69,15
17,97,65
18,33,71
19,88,41
20,45,14
21,99,10
22,66,55
23,64,68
24,12,58
25,42,45
26,18,98
27,65,71
28,24,51
29,81,63
30,95,36
31,29,26
32,39,77
33,51,58
34,11,37
35,58,33
36,38,71
37,50,83
38,97,98
39,31,28
40,15,97
41,35,37
42,57,29
43,14,66
44,30,66
45,50,43
46,18,15
47,27,94
48,76,83
49,51,29
50,27,73
51,77,66
52,91,78
53,69,71
54,19,95
55,34,33
56,21,92
57,22,76
58,69,45
59,56,80
60,87,12
61,4,95
62,81,87
63,43,3
64,51,55
65,96,23
66,64,10
67,77,24
68,46,7
69,55,52
70,24,39
71,81,8
72,49,44
73,11,4
74,73,3
